query,timestamp,postUrl,description,commentCount,likeCount,location,locationId,pubDate,likedByViewer,isSidecar,type,profileUrl,username,fullName,imgUrl,postId,taggedFullName1,taggedUsername1,taggedFullName2,taggedUsername2,taggedFullName3,taggedUsername3,taggedFullName4,taggedUsername4,taggedFullName5,taggedUsername5,taggedFullName6,taggedUsername6,taggedFullName7,taggedUsername7,taggedFullName8,taggedUsername8,taggedFullName9,taggedUsername9,taggedFullName10,taggedUsername10,taggedFullName11,taggedUsername11,taggedFullName12,taggedUsername12,taggedFullName13,taggedUsername13,taggedFullName14,taggedUsername14,taggedFullName15,taggedUsername15,videoUrl,viewCount,taggedFullName16,taggedUsername16,taggedFullName17,taggedUsername17,taggedFullName18,taggedUsername18,taggedFullName19,taggedUsername19,taggedFullName20,taggedUsername20,taggedFullName21,taggedUsername21,taggedFullName22,taggedUsername22,taggedFullName23,taggedUsername23,error
https://www.instagram.com/frootlupe/,2022-03-11T15:25:07.979Z,https://www.instagram.com/p/Ca1E9gNveFT/,"How I feel about McGriddles may rattle some cages so if you’re the sort that gets defensive about foods that you like, kindly refrain from reading what I’ve written below—even though I know that you still will because hUmAn NaTuRe.

And just to reiterate: yes I know it’s fast food and therefore I should manage my expectations accordingly. But so is KFC’s cheesy bbq meltz and those suckers are amazing so I’m sorry but stfu Karen.
.
.
.
.
.
No I’m not leaving this up to public opinion, I’m straight up calling it: The McGriddles is overhyped and most certainly not worth my buck. It’s essentially a sick incestual affair between hot cakes and big breakfast gone horribly wrong. Sure there’s the cheese and egg element that tries to provide some semblance of allure (and palatability) but otherwise it’s just a sad, twisted mongoloid of a burger that neither sparks breakfast cheer nor lunchtime satisfaction.

The hot cakes were mushy the way a sponge cake would be if you dropped it in the drain and picked it up again and the artificial maple aroma simply doesn’t bode well with the oregano and black pepper-heavy sausage patties. I’m sorry, it just doesn’t. Turkey bacon is, as you would expect from fake bacon, dry, lacklustre and excruciatingly difficult to stomach—similar to an old belt your mother probably beat you with when you were younger.

But with all that said, I know many folks swear by this hotshot McDonald’s seasonal and by all means I’m not here to sway your opinion. I can somewhat understand why the McGriddles is a hit but I’m afraid it just isn’t for me. Food is subjective after all…

… but so is the mortal definition of hell.",15,125,Maldives,3.1275E+14,2022-03-08T04:24:49.000Z,FALSE,FALSE,Photo,https://www.instagram.com/frootlupe,frootlupe,Alvin,https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-15/275322079_629671448136896_6106618536357683130_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=CZ9LTVzJ5I4AX-qnzjy&edm=AABBvjUBAAAA&ccb=7-4&ig_cache_key=Mjc4OTE1NzM2Mjg5MDMwMTc3OQ%3D%3D.2-ccb7-4&oh=00_AT82H8N_UCGhtaVgNTeleCDW_qMwA9Pq5-f-pFUZfDbIUw&oe=6231793F&_nc_sid=83d603,2789157362890301779_7094374907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/frootlupe/,2022-03-11T15:25:08.237Z,https://www.instagram.com/p/CaybBAPP0wx/,"I don’t know about you but I prefer my lunches with a little more oomph. Oomph in the form of a perfectly executed tonkatsu, moist centre and crunchy all around, paired with a savoury-sweet mess of runny egg and roughly diced white onions over a bed of short grain Niigata rice.",4,145,,,2022-03-07T03:39:49.000Z,FALSE,FALSE,Photo,https://www.instagram.com/frootlupe,frootlupe,Alvin,https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-15/275308454_2344842422323992_655160330096079837_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=s33Ydc4DT7YAX8l1UJG&tn=pZ5WdMG4qdoR0cC_&edm=AABBvjUBAAAA&ccb=7-4&ig_cache_key=Mjc4ODQwOTkzNTUyNjg0MTM5Mw%3D%3D.2-ccb7-4&oh=00_AT9quwZLv754MV81XUCRGklYTRoVhYjUPeK2fmB29iYRwA&oe=6231B18D&_nc_sid=83d603,2788409935526841393_7094374907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/frootlupe/,2022-03-11T15:25:08.556Z,https://www.instagram.com/p/CaYVGl4POcu/,"If there’s one place that’s able to inspire fond memories of having fluffy, piping-hot chips by the pier in Perth or the crispiest, most gratifyingly moorish pieces of battered fish in the cold dead of night in London, it’s @goodintentions.sg . They don’t even specialise in fish &amp; chips, they just do it well.

Paired with a crisp lager or a hazy IPA, it’s a ménage à trois in your mouth you never knew you needed. Really solid stuff—and I mean that with the very best of intentions. 😉",6,153,Good Intentions,1.11272E+14,2022-02-25T00:27:53.000Z,FALSE,FALSE,Photo,https://www.instagram.com/frootlupe,frootlupe,Alvin,https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-15/274577655_518810293143319_3107673206000078161_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=o7NIKGQKyJQAX9uCr_k&edm=AABBvjUBAAAA&ccb=7-4&ig_cache_key=Mjc4MTA2NTU4MTg2NjgzNzgwNg%3D%3D.2-ccb7-4&oh=00_AT_hKnnSgnHcG7TPg-9ovgx9UDciEtoP5XWioLX9_XUv1w&oe=6231AC2A&_nc_sid=83d603,2781065581866837806_7094374907,— Ally ッ,allyc.sg,Good Intentions,goodintentions.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/frootlupe/,2022-03-11T15:25:08.914Z,https://www.instagram.com/p/CaO4f5OvWSo/,"If there’s one thing @goneroguebrewing does remarkably well, it’s their Kawa Ebi thin crust pizza. I’m not crazy about pizza but what they did here—combining Japanese elements such as umami-loaded bonito and crispy river shrimp alongside mozzarella cheese and their house-made spicy mayo—really left an impression on me.

You get a nice salty crunch from the lil crustaceans, a smoky savouriness from bonito shavings and the melty cheese and creamy mayo that gives it such a profound richness and heat. Absolutely killer. 🦐",2,91,Gone Rogue Brewing,1.10467E+14,2022-02-21T08:24:46.000Z,FALSE,FALSE,Photo,https://www.instagram.com/frootlupe,frootlupe,Alvin,https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-15/274339084_324533443059257_8096164197771261480_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=jpw7sYnAGXEAX9XXfWc&edm=AABBvjUBAAAA&ccb=7-4&ig_cache_key=Mjc3ODQwNjUwMjQ5MzE1MjQyNA%3D%3D.2-ccb7-4&oh=00_AT_J1xb4WZXVzVJm2rElp7eRuPivNYsz4Xez8juJXtVtEg&oe=6232F421&_nc_sid=83d603,2778406502493152424_7094374907,Gone Rogue Brewing,goneroguebrewing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/frootlupe/,2022-03-11T15:25:09.236Z,https://www.instagram.com/p/CZlftixPKsw/,"An all day brunch affair solidified with a tasty nosh, a formidable craft beer tap selection and a bona fide cocktail program designed by one of the industry’s most prolific (shoutout to @vinywc ), it goes without saying that @goodintentions.sg is one to take note of.

The newest kid to take up residence along the bustling Tanjong Katong stretch, what instantly allured me was their cosy space that spans two floors—the ground floor where their beer taps reside along with a quiet reading-room-type space which I’m told is perfect for intimate conversations and well… reading, as well as the upper deck, spacious and bright, fit for merry-making and all-out debauchery should you desire it.

I could spend all day and all night there. Drink till I’m sloshed the night before and wake up to a hearty, polished brunch that would no doubt expel the previous night’s easy-earned hangover. Remember the name @goodintentions.sg and pay a visit pronto.",3,168,Good Intentions,1.11272E+14,2022-02-05T06:39:19.000Z,FALSE,TRUE,Photo,https://www.instagram.com/frootlupe,frootlupe,Alvin,https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-15/273353634_1355992778173997_2967943535529555658_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=yuy7lzy_AgcAX-H5zcb&edm=AABBvjUBAAAA&ccb=7-4&ig_cache_key=Mjc2Njc1NzAwOTgyMTc5MTQ3OQ%3D%3D.2-ccb7-4&oh=00_AT_O8Tp7jb6Io1qaoUCo1tHR1b3BoxUG81h0tt1FztNUTg&oe=623309B9&_nc_sid=83d603,2766757009821791479_7094374907,Alvin Ywc,vinywc,— Ally ッ,allyc.sg,Good Intentions,goodintentions.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/carbsforlyfe/,2022-03-11T15:25:17.753Z,https://www.instagram.com/p/Ca8ysq0L9Im/,"[📝 Review] Rumour’s Beach Club Food Galore 🍕

✨ A place to chill &amp; unwind by the beach ✨

Apart from the inevitable scorching sun, I would gladly spend my weekends at the beach sipping on wine while indulging in these delectable spread. 

🌶 Balinese Mixed Rice
Classic, a must get for me. The pieces of shredded chicken were well marinated. Beef chunks were tender and melty!

🍕 Rumours Pizza
Bigger in real life, it was riddled with beef salami, mushroom, basil, cherry tomato and black olive. It’s creamy and dripping in sauce. 

🍤 Calamari 🥠 Nachos
These are the perfect finger food to chill by the beach!

🍚 Indonesian Fried Rice
The concoction of shrimp paste sambal was extremely addictive. Dipped the crispy fried chicken and garlic crackers with it and there was no turning back. 

🍷 White wine
🍸 Margarita 

P.S. Food was great and I would love to go back again!

Overall Rating: 8.5/10",20,3,Rumours Beach Club,1.03409E+14,2022-03-11T04:19:09.000Z,FALSE,TRUE,Photo,https://www.instagram.com/carbsforlyfe,carbsforlyfe,Singapore Food Reviewer 😋,https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-15/275542909_1183410139064305_127834483334748341_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=x_lyB2aZxBYAX8B-AsS&tn=pZ5WdMG4qdoR0cC_&edm=AABBvjUBAAAA&ccb=7-4&ig_cache_key=Mjc5MTMyODgzNjk0MTAzNTA2MQ%3D%3D.2-ccb7-4&oh=00_AT8GT4JFZzeeOhlVT8R9a2-3qJJXeW68CEnWC-Umb8y9IQ&oe=62325DF0&_nc_sid=83d603,2791328836941035061_37015959142,Sentosa,sentosa_island,Resorts World Sentosa,rwsentosa,8 DAYS Eat,8days_eat,Weekender Singapore,weekendersgp,ιnѕтaғoodѕg,instafoodsg,SINGAPORE INSIDERS,singaporeinsiders,Loving The Good Food 🍴☕️🍰😊,sgcafehopping,BEACH,beach,The Straits Times Food,straitstimesfood,EXPLORE SINGAPORE™ (OFFICIAL),exploresingapore.sg,Rumours Beach Club,rumoursbeachclub,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/carbsforlyfe/,2022-03-11T15:25:18.205Z,https://www.instagram.com/p/Ca4bDSmPrek/,"[📝 Review] Knockhouse Cafe’s FRENCH TOAST ($12)

✨ Fluffy soft pillows ✨

Beautifully presented, the toast was drizzled in salted caramel and sugar dusting with ice cream and seasonal fruits on the side. Each bite was greeted with a soft pillowy mouthfeel as the light buttery fragrance permeated through. 

P.S. It was so soft and light! Didn’t feel surfeiting at all!
Wished that there were more slices!

Rating: 8/10",37,3,Knockhouse Cafe,941905729,2022-03-09T11:35:34.000Z,FALSE,TRUE,Photo,https://www.instagram.com/carbsforlyfe,carbsforlyfe,Singapore Food Reviewer 😋,https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-15/275418283_932988164070222_6251582559252490075_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=ke04Gok8V64AX_qK_XN&edm=AABBvjUBAAAA&ccb=7-4&ig_cache_key=Mjc5MDA5ODkzODEyNjgwNTgxMQ%3D%3D.2-ccb7-4&oh=00_AT_wcmjLTJH5s5edLaGxCPgzFcnPhEsc-1EDj_fNsaP4WA&oe=6232CD68&_nc_sid=83d603,2790098938126805811_37015959142,8 DAYS Eat,8days_eat,Weekender Singapore,weekendersgp,Dessert Lover🍫,dessert__lover,ιnѕтaғoodѕg,instafoodsg,SINGAPORE INSIDERS,singaporeinsiders,Loving The Good Food 🍴☕️🍰😊,sgcafehopping,Desserts in Singapore,sgdessert,The Straits Times Food,straitstimesfood,📍Kɴᴏᴄᴋʜᴏᴜsᴇ ᴄᴀғᴇ,knockhousecafe,What's On The Table,wottable,Tripadvisor For Food,tripadvisoreats,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/carbsforlyfe/,2022-03-11T15:25:18.726Z,https://www.instagram.com/p/CazMAfevbyL/,"[ 🎉 GIVEAWAY 🎉] BROTHERBIRD CROISSANTS 🥐

‼️ 4 Lucky Winners, March Box worth $32.50 ‼️

✨ A new channel @DroolingFork brings us our cult favourite croissants ✨

To join the giveaway:
1️⃣Follow @carbsforlyfe &amp; @DroolingFork
2️⃣Like &amp; save this post
3️⃣Tag ONE friend per comment (Multiple entries to increase your chances!
4️⃣Share this post on IGS and tag @carbsforlyfe &amp; @DroolingFork

*Giveaway is open to people residing in SG and ends on 15th March. Announcement the next day via IGS &amp; DM and prize collection is by appointment.
*This giveaway is not affiliated with Instagram. Redemption dates will be 18-20, 25-27 Mar. They are also hosting a giveaway on their YouTube channel too.

What’s in the box 🎁 Review:

🍩 ROCHER CROISSANT
Packed with oozing thick hazelnut filling, enwrapped by a dark chocolate glaze, the sweetness from the chocolate paired very well with the crispy croissant. 

🥕CARROT CAKE TWICE-BAKED
Topped off with dehydrated carrot in a bed of cream cheese frosting, the croissant was an interesting spin to the carrot cake! The shell revealed a pool of carrot cake frangipane. 

🥨 CINNAMON BROWN SUGAR KNOT
Tightly knot, it was densely packed with a mix of cinnamon and brown sugar. Drizzled in a cream cheese glaze, I swoon as I’m biased over cinnamon. 

🐥 CHICKEN LASAGNE TWICE-BAKED
For individuals who love savoury food, this chicken bolognese filling with sauce mornay, dehydrated tomato and dusting of parmesan cheese is the one for you!

🥐 BB's ORIGINAL CROISSANT
A classic, the original croissant emitted the flavour of the french butter. It was mellower in the richness of butter and geared towards a saltier profile. Coated in a sugar glaze with sea salt, what’s wrong with being basic?

🍤 MENTAIKO PRAWN TWICE-BAKED
Creamy luscious mix of mentaiko prawn filling was glistening as I uncovered the crispy croissant. Scattered with a dusting of mozarella cheese, the creaminess was a resounding yes. 

Thank you @DroolingFork for sending this box over and hosting this giveaway! ✨

📍Every Wed-Fri, 10am - 6pm Bali Lane cafe is available for you to ""Work-From-Coffeehouse"" with $6 offset in any drinks/croissant for every mains purchased.",1225,3,Brotherbird Coffeehouse,1.10067E+14,2022-03-07T10:47:55.000Z,FALSE,TRUE,Photo,https://www.instagram.com/carbsforlyfe,carbsforlyfe,Singapore Food Reviewer 😋,https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-15/275258127_534774211295579_9004235652359370439_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=qMHcqJgapTIAX-1itpN&edm=AABBvjUBAAAA&ccb=7-4&ig_cache_key=Mjc4ODYyNTM5OTQ1NjUzNDg2Mg%3D%3D.2-ccb7-4&oh=00_AT-vFCf8M_3IOasWS4sPl2qFHSrIe1GhLRAcReK0bTAYbw&oe=62331C24&_nc_sid=83d603,2788625399456534862_37015959142,Singapore Giveaway Contests 🇸🇬,sggiveawayig,8 DAYS Eat,8days_eat,Brotherbird Coffeehouse,brotherbird_coffeehouse,Dessert Lover🍫,dessert__lover,Loving The Good Food 🍴☕️🍰😊,sgcafehopping,SG Contest Giveaway,sgcontestgiveaway,Brotherbird Bakehouse | SG,brotherbird_bakehouse,sggiveaways,sggiveaway.sg,SG Giveaway Leh,sggiveawayleh,SINGAPORE Insta LOOP GIVEAWAYs,sggiveawayofficial,SingaporeGiveawayContests🇸🇬,sg.giveaway,Singapore Giveaway Contests,sg.giveawaycontest,Droolingfork,droolingfork,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/carbsforlyfe/,2022-03-11T15:25:19.119Z,https://www.instagram.com/p/CatZtg-PF2W/,"[📝 Review] KOAL’s Bread Roll 🍞 ($8)

✨ Relatively new restaurant by @lesamisgroupsg✨

Served in a piping hot pan, the glistening shin caught my eye. Embedded with a handful of bacon and spring onions, the savoury bread was pillowy soft! 

The fragrance from the grilled spring onions and chopped bacon permeated through. The smear of chive butter added a touch of creaminess to the dinner rolls. 

P.S. As a bread lover, I was excited that they serve this for dinner! Bread anytime of the day yea?

Rating: 7.8/10",64,3,KOAL,1.01609E+14,2022-03-05T04:52:13.000Z,FALSE,TRUE,Photo,https://www.instagram.com/carbsforlyfe,carbsforlyfe,Singapore Food Reviewer 😋,https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-15/275135923_498085408385641_3741051049581047406_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=JHtn5bKCSboAX__H0Dc&edm=AABBvjUBAAAA&ccb=7-4&ig_cache_key=Mjc4Njk5NjgxOTU4MDU3NTI0MA%3D%3D.2-ccb7-4&oh=00_AT8YpUng8B3X4YSUSuiksv5U8DTY3Tg8LRUTg2lXXk4_4A&oe=62333B9E&_nc_sid=83d603,2786996819580575240_37015959142,8 DAYS Eat,8days_eat,Weekender Singapore,weekendersgp,ιnѕтaғoodѕg,instafoodsg,SINGAPORE INSIDERS,singaporeinsiders,EXPLORE SINGAPORE,exploresingapore,🇸🇬 Singapore's Top Restaurants,top_singapore_restaurants,The Straits Times Food,straitstimesfood,EatMoreSG,eatmoresg,Singapore Foodie,singapore.foodie,What's On The Table,wottable,Les Amis Group,lesamisgroupsg,Tripadvisor For Food,tripadvisoreats,KOAL,koal.grill,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/carbsforlyfe/,2022-03-11T15:25:19.549Z,https://www.instagram.com/p/CapFZcRvQIz/,"[📝 Media Drop] SöngHè's New Crop Rice 🍚

✨ Unstoppable with a bowl of fried rice ✨

The only time I’ll plough through bowls of rice is when I’m treated to freshly fried rice. Be it pineapple fried rice, stir fried rice, as long as it’s seasoned to taste, I can’t control myself. 

With the new crop rice, it’s convenient to clean with just a one time rinse! The rice grains were plump and moist! The recommended cooking guidelines are 1 cup of rice to 0.9-1 cup of water. Subjected to preference, adjust the volume of water to achieve the desired texture!

Whipped up servings of fried rice and enjoyed the texture and taste to it!

📍Available at Fairprice, Giant, Cold Storage, Sheng Siong, and their online platform Prime, Minimarts, Esso, Redmart/ Lazada, Shopee, Foodpanda, Amazon, Q0010

Thanks @getkobe for sending this packet of @songhe.rice over! ✨",62,3,Singapore / Singapura / 新加坡 / சிங்கப்பூர்,1.14069E+14,2022-03-03T12:37:45.000Z,FALSE,TRUE,Photo,https://www.instagram.com/carbsforlyfe,carbsforlyfe,Singapore Food Reviewer 😋,https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-15/275160624_3395491110687037_5528339060271000756_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=yo-EF-EiRMEAX8Ap6NI&edm=AABBvjUBAAAA&ccb=7-4&ig_cache_key=Mjc4NTc4MTU3OTIzNjk5NjUxMQ%3D%3D.2-ccb7-4&oh=00_AT888_28FzkV53C4llo0kIWyA_S2r82mZ0rw_jj8UTWh7A&oe=623274DA&_nc_sid=83d603,2785781579236996511_37015959142,Kobe,getkobe,Sōng Hè Fragrant Rice 松鹤香米 🍚,songhe.rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
