query,timestamp,postUrl,description,commentCount,likeCount,pubDate,likedByViewer,isSidecar,type,profileUrl,username,fullName,imgUrl,postId,location,locationId,taggedFullName1,taggedUsername1,taggedFullName2,taggedUsername2,videoUrl,viewCount,taggedFullName3,taggedUsername3,taggedFullName4,taggedUsername4,taggedFullName5,taggedUsername5,taggedFullName6,taggedUsername6,taggedFullName7,taggedUsername7,taggedFullName8,taggedUsername8,taggedFullName9,taggedUsername9,taggedFullName10,taggedUsername10,taggedFullName11,taggedUsername11,taggedFullName12,taggedUsername12,taggedFullName13,taggedUsername13,taggedFullName14,taggedUsername14,taggedFullName15,taggedUsername15,taggedFullName16,taggedUsername16,taggedFullName17,taggedUsername17,taggedFullName18,taggedUsername18,taggedFullName19,taggedUsername19,taggedFullName20,taggedUsername20,taggedFullName21,taggedUsername21,taggedFullName22,taggedUsername22,taggedFullName23,taggedUsername23,taggedFullName24,taggedUsername24
https://www.instagram.com/sgfatfoodie/,2022-03-13T14:04:46.509Z,https://www.instagram.com/p/CY8stIvPCzJ/,"Our staple food after playing mahjong
😀😀 Highly recommend their tomyum fried rice with pork cutlet.. 太好吃了😋@kingoffriedricesg",8,76,2022-01-20T10:24:00.000Z,,,Photo,https://www.instagram.com/sgfatfoodie/,sgfatfoodie,Becca Eats😋,https://scontent-bru2-1.cdninstagram.com/v/t51.2885-15/272207642_959869594956943_3819999953564691381_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-bru2-1.cdninstagram.com&_nc_cat=107&_nc_ohc=lXsma1YyvWcAX-BGS6N&edm=APU89FABAAAA&ccb=7-4&oh=00_AT_0S_NVXgbb39jzC78Cv4wBZh9Xk4-juYUhTWZhPy9pwA&oe=6234B547&_nc_sid=86f79a,2.76E+18,King of Fried Rice,1.03E+14,King Of Fried Rice,kingoffriedricesg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/sgfatfoodie/,2022-03-13T14:04:46.509Z,https://www.instagram.com/p/CY3eve0P1Zv/,This hawker in Senoko is really a gem.. 😌 Such generous portion given for 烧鸡烧肉饭.. and its only SGD3.50!!!! *the woman was too stunned to speak* 😂,18,69,2022-01-18T09:45:47.000Z,,,Photo,https://www.instagram.com/sgfatfoodie/,sgfatfoodie,Becca Eats😋,https://scontent-bru2-1.cdninstagram.com/v/t51.2885-15/272018363_716468559304035_5276621531642153186_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-bru2-1.cdninstagram.com&_nc_cat=103&_nc_ohc=8zpojW7MOv0AX8lXxmP&edm=APU89FABAAAA&ccb=7-4&oh=00_AT9OSxI01Rghz3VetQBUIkNuElUNmRJ-hgXrWqPrdpiO-w&oe=62354501&_nc_sid=86f79a,2.75E+18,Min Lock Eating House,1.67E+15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/sgfatfoodie/,2022-03-13T14:04:46.509Z,https://www.instagram.com/p/CYyqu9zPul-/,PSA: I have found my new favorite drink this year!!! (though its only January😅).. the Soy Milk Tea with Soy Foam & White Jade Balls from 半仙豆夫 (SGD6.20) is soooo good. If it is slightly cheaper I might get it everyday.. Got this from Chinatown Point ytd and there is no queue!! Think many do not know that there is a new branch there hehe. Head to their ig page @chinesetofumagician.sg and flash the post where they mentioned 10% off when u purchase their drinks at Chinatown Point this month!,8,89,2022-01-16T12:54:22.000Z,,,Photo,https://www.instagram.com/sgfatfoodie/,sgfatfoodie,Becca Eats😋,https://scontent-bru2-1.cdninstagram.com/v/t51.2885-15/271844939_461040268893682_7134616591135944621_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-bru2-1.cdninstagram.com&_nc_cat=110&_nc_ohc=JJc5QjIeqP8AX8nAZoa&tn=_-cmx2Zk1yVa89nj&edm=APU89FABAAAA&ccb=7-4&oh=00_AT8uVZrCL2wDpReSBVYOPlWZ_XFhdZc6uum8ikM-OKi53Q&oe=62355D07&_nc_sid=86f79a,2.75E+18,半仙豆夫 Tofu Magician SG,1.07E+14,Chinese Tofu Magician 半仙豆夫,chinesetofumagician.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/sgfatfoodie/,2022-03-13T14:04:46.509Z,https://www.instagram.com/p/CYxvPrFPy57/,"Say yay to free food! So happy to win this awesome japanese claypot rice from @donabe.sg 
We had Kinoko (mushroom delight), the vegetarian choice. Its so flavourful that we forgot that there is no meat inside 😂",3,71,2022-01-16T04:14:33.000Z,,TRUE,,https://www.instagram.com/sgfatfoodie/,sgfatfoodie,Becca Eats😋,https://scontent-bru2-1.cdninstagram.com/v/t51.2885-15/271831310_3107903499456407_998248682872021946_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-bru2-1.cdninstagram.com&_nc_cat=111&_nc_ohc=xKjVNhalDfsAX-_qorY&tn=_-cmx2Zk1yVa89nj&edm=APU89FABAAAA&ccb=7-4&oh=00_AT_wOahzUKGQp1uToj5FeNQ9uoRO1yelBbUkcjIr9Uc_4w&oe=62351111&_nc_sid=86f79a,2.75E+18,Donabe,1.01E+14,donabe,donabe.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/sgfatfoodie/,2022-03-13T14:04:46.509Z,https://www.instagram.com/p/CYdA9whvYOt/,"Finally tried Egg Slut! The queue was insane even on a weekday morning. But luckily I still manage to get in within 10mins.. I had Fairfax (SGD12) which consists of scrambled eggs (with caramelized onions), cheddar cheese, drizzled with sriracha mayonnaise. I wished that the eggs were more creamy and fluffy though. You can also add patty for another SGD4 and truffle hash browns for SGD4.50, just like what I did 😌 these 2 are not bad. Worth ordering. Total damage for this meal was SGD20.50, which I think is too expensive for a breakfast! Try 一次就好😅",7,91,2022-01-08T03:05:20.000Z,,TRUE,,https://www.instagram.com/sgfatfoodie/,sgfatfoodie,Becca Eats😋,https://scontent-bru2-1.cdninstagram.com/v/t51.2885-15/271384043_682090852787368_4423581813971665176_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-bru2-1.cdninstagram.com&_nc_cat=104&_nc_ohc=K32I9HVdLxUAX80pEvX&tn=_-cmx2Zk1yVa89nj&edm=APU89FABAAAA&ccb=7-4&oh=00_AT-rMUEfb_ISa9S7jZiR3L6cb8qTxHOgzKn3FUpsLxN3Kg&oe=62354696&_nc_sid=86f79a,2.75E+18,Eggslut SG,1.05E+14,EGGSLUT SINGAPORE,eggslutsg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/h_c_et_cetera/,2022-03-13T14:04:56.946Z,https://www.instagram.com/p/CG__W6_AO1N/,"〜屋台料理　其の120〜🤤🤤🤤
Beef Brisket Noodle @Uncle Lee's Hong Kong Noodle & Rice
S$4.00 

Scrumptious Breakfast! 

This stall is famous for soya sauce chicken dishes. But what I wanna recommend is his beef brisket! The flavor of the soy sauce has soaked right in. The meat melts in my mouth. Goes well with chewy noodles.

このオッチャンの店は醤油ベースのチキンが有名。でも個人的にオススメなのがビーフのブリスケット。醤油味がしみてて口ん中でとろけるほど柔らかい。コシのある麺ともよく合う。美味しい！

#singapore 
#hawkerfood 
#instafood 
#sgfood 
#localfood 
#hawkermania 
@hawker_mania 
#シンガポールご飯 
#ローカルフード
#ホーカーズ 
#sghawker 
#soyasaucechicken 
#brisket 
#beefbrisket
#noodles 
#ブリスケット 
#ヌードル 
#シンガポール
#シンガポールおすすめホーカー",11,539,2020-10-31T07:39:37.000Z,,TRUE,,https://www.instagram.com/h_c_et_cetera/,h_c_et_cetera,hawker_mania,https://scontent-bru2-1.cdninstagram.com/v/t51.2885-15/123047008_356975418713538_5877257772076192816_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-bru2-1.cdninstagram.com&_nc_cat=106&_nc_ohc=FlHxFk8pp4IAX-CPkGL&edm=APU89FABAAAA&ccb=7-4&oh=00_AT_kNeyNgw3BIOeMmzCfT2B-sOgYJdZyWBl3a13QcYNNWw&oe=6233EFC1&_nc_sid=86f79a,2.43E+18,"11 Telok Blangah Crescent, Telok Blangah Crescent Market and Food Centre",2.14E+14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/h_c_et_cetera/,2022-03-13T14:04:56.946Z,https://www.instagram.com/p/CGtVCxXgFx1/,"〜男料理　其の24〜
Saturday Breakfast at home

Macaroni au Gratin + Baguette + Coffee (Guatemala🇬🇹Antigua Pacaya: siphon coffee maker)

朝からマカロニグラタン+サイフォンコーヒー。

自己満足！

#singapore
#gratin 
#macaroniaugratin 
#siphoncoffee 
#guatemalacoffee
#男料理 
#家庭料理 
#instafood 
#hawkermania 
@hawker_mania 
#マカロニグラタン 
#サイフォンコーヒー 
#グアテマラコーヒー
#日本食 
#homecooking",15,605,2020-10-24T01:43:32.000Z,,TRUE,,https://www.instagram.com/h_c_et_cetera/,h_c_et_cetera,hawker_mania,https://scontent-bru2-1.cdninstagram.com/v/t51.2885-15/122196209_121253109558036_4846303194154671993_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-bru2-1.cdninstagram.com&_nc_cat=100&_nc_ohc=sqoyKG3Kt-8AX9EPtEo&tn=_-cmx2Zk1yVa89nj&edm=APU89FABAAAA&ccb=7-4&oh=00_AT8BCLrlsXvuaKQbUKnOFacxcood_jHttTkOi3dVB-Lezw&oe=623496F2&_nc_sid=86f79a,2.43E+18,Singapore,1.06E+14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/h_c_et_cetera/,2022-03-13T14:04:56.946Z,https://www.instagram.com/p/CGbhye6AuA9/,"〜屋台料理　其の119〜🤤🤤🤤🤤🤤
Lontong @Hani Food Stall
S$3.50 (Extra-Serving)

Scrumptious Breakfast! 

This Malay-style curry soup is quite smooth but has a nice rich flavour. It also has plenty of yummy ingredients. 

ここのロントン(マレー風野菜スープカレー)はサラサラだけどコクがある。しかも美味しい具がたくさん入ってる。有り難い！

#singapore 
#hawkerfood 
#instafood 
#sgfood 
#localfood 
#hawkermania 
@hawker_mania 
#シンガポールご飯 
#ローカルフード
#ホーカーズ 
#sghawker 
#マレーシア料理 
#lontong 
#malaysianfood 
#malayfood 
#シンガポール
#シンガポールおすすめホーカー",6,597,2020-10-17T03:48:35.000Z,,TRUE,,https://www.instagram.com/h_c_et_cetera/,h_c_et_cetera,hawker_mania,https://scontent-bru2-1.cdninstagram.com/v/t51.2885-15/121545422_2287598178052010_971872470289776982_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-bru2-1.cdninstagram.com&_nc_cat=102&_nc_ohc=2QOeDCEPCQUAX8qYOkK&edm=APU89FABAAAA&ccb=7-4&oh=00_AT-riYVkNopv-tC-iBPZOuuRfj70K2bUyoUD_LpqfKchsw&oe=623534DD&_nc_sid=86f79a,2.42E+18,726 West Coast Market,236231978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/h_c_et_cetera/,2022-03-13T14:04:56.946Z,https://www.instagram.com/p/CGSbXxdALev/,"〜屋台料理　其の118〜🤤🤤🤤
Wanton Noodle (Dry) @文記
S$4.5

My wantan noodle for lunch was totally different from in the photo. Well, it happens a lot in  the Hawker Centre. 

お昼に食べた雲呑麺、写真とえらい違ってた。まあ、ホーカーセンターあるあるだけどね。

#singaporefood 
#hawkerfood 
#instafood 
#sgfood 
#wantonnoodles 
#charsiew 
#sghawker 
#hawkermania 
@hawker_mania 
#シンガポールご飯 
#ローカルフード
#ホーカーズ
#シンガポール
#singapore 
#雲呑麺 
#シンガポールおすすめホーカー",11,586,2020-10-13T14:59:20.000Z,,TRUE,,https://www.instagram.com/h_c_et_cetera/,h_c_et_cetera,hawker_mania,https://scontent-bru2-1.cdninstagram.com/v/t51.2885-15/121285629_709551676306108_632297422396895621_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-bru2-1.cdninstagram.com&_nc_cat=104&_nc_ohc=FckGxtu7tccAX_DZk75&edm=APU89FABAAAA&ccb=7-4&oh=00_AT-3GKc-Elovei2AFiToOIXGyCx1W0C9uge0kKtzVU1Bhw&oe=6235A0B1&_nc_sid=86f79a,2.42E+18,Clementi Market and Hawker Centre,236177703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/h_c_et_cetera/,2022-03-13T14:04:56.946Z,https://www.instagram.com/p/CGIHsgtgnRh/,"〜屋台料理　其の117〜🤤🤤🤤🤤🤤
Szechuan Vege and Shredded Pork Noodle @SHANG HAI LA MIAN XIAO LONG BAO  S$3.00

My favorite Szechuan Vege and Shredded Pork Noodle. S$3.00 is a good price for the volume and quality. You’ll never be disappointed here. Everything is good!

大好きな榨菜肉拉麺。この量とクオリティで3Sドルは安い！ここはハズレなし。何食べても美味しい！

#singaporefood 
#hawkerfood 
#instafood 
#sgfood 
#szechuanveggies 
#shreddedpork 
#noodles 
#sghawker 
#hawkermania 
@hawker_mania 
#シンガポールご飯 
#ローカルフード
#ホーカーズ
#榨菜肉拉麺
#シンガポール
#singapore 
#シンガポールおすすめホーカー",6,563,2020-10-09T14:55:00.000Z,,TRUE,,https://www.instagram.com/h_c_et_cetera/,h_c_et_cetera,hawker_mania,https://scontent-bru2-1.cdninstagram.com/v/t51.2885-15/121089678_206681234205669_5785846085071316561_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-bru2-1.cdninstagram.com&_nc_cat=109&_nc_ohc=4SqsgSxd8Y0AX-T4YEj&edm=APU89FABAAAA&ccb=7-4&oh=00_AT-cARbI7aypt-CVCE4f4JQmZWK7V5HsgkdbRHZ4vHEMJg&oe=6233EEE0&_nc_sid=86f79a,2.42E+18,Alexandra Village Hawker Centre,216940846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
