review_rating,review_text
1,"I have always respected the younger generation to venture into the hawker industry. But definitely not for this particular hawker. With such an attitude, I will never patronise this shop anymore"
1,"Food was kinda disappointing compared to the good reviews written online. Not very value in terms of taste for the price... I wont be queuing again.

The issue is the service staff who has a poor attitude when taking customers order/requests and does not seem trained when it comes to food handling. On multiple occasions saw this staff scratching her hair then handling customer's food and not wearing mask properly."
1,"The chicken was cold..... new establishment so that's ok, theres always room for improvements.

1/5. Mainly for the poor attitude and rude girl taking order. When told the food is cold, she just stares at u. Terrible especially when some of us work in the service industry. She could have nicely communicated but chose to act snobbish.

Would have given 2 stars for the food, 0 star for the person taking order. Thus 1 star rating."
1,"Could have given 0 if possible

Extremely disappointed with the Pork Belly Katsu Don & Beef Don

Both dishes fell way below expectations and do not expect your food to look
even similar to what was shown on the menu

Katsu was soggy, Beef was tough

Will not visit again

Pricing wise @ S$6.90 you can tastier food than this at Marine Parade Hawker Centre with spare change"
1,Very Good Place
1,Not good at all.
2,"Have always wanted to try this but only open at noon. (So has severely limited my ability to eat this earlier cos I prefer to eat lunch before 12noon)
tried the spicy pork collar —
Did not look as nice as the photos.  It was incredibly yellow…. Curry powder as the primary ingredient in the pork? I would have expected it to be drizzled in spice powders…..  if I knew it was curry powder I would not have ordered this!!!

The meat dishes were fried on the spot…. And the pork shreds were not properly separated and ended up stuck together, clumped together, I was worried it be uncooked in between.

The so called onsen egg was only ‘50%’ there. Had a video but could not put it up.  Only a little egg yolk oozed out, the rest were semi hard.

Semi generous in the spring onions but wish they gave a bit more (even tho I asked for more); or to have a bit more garnishing.  Since it fusion, how about fried garlic chips/crumbs or even shallots.

Unlikely I will go back to try their other dishes."
2,"Was recommended by my family to come and try. First of all, I am always skeptical when I see sprinkles of furikake and powders on top of the bowl, because the Japanese themselves rarely do that as it mostly skews the taste of the meat and rice. Portion is decent. But the worst of all was the rice. Never seen such a bad rice before. Don't even talk about it being Japanese rice or not, it's dry and brittle as hell. Felt like overnight rice or something. Tried to be understanding, but man it was super disappointing."
2,"Didn’t enjoy the food. Too egg was too sweet, and the pork katsu very flat. Waste of calories"
2,Nothing special. Ordered beef short plate. Slight tough to chew. Not a good value when you are served with a bowl full of rice with little meats. Was hoping the quality would outweigh the quantity. Both seems lacking. These young lads are very hardworking though.
2,"Not bad. Interesting new generation food. Queue is pretty long but not worth the wait as the portion is small and nothing special... for the size, the price is on the high side."
3,"New stall at this hawker centre. Had the chicken karaage with curry sauce and rice for $4.50 - impressed by the huge portion for such a price. I left the place feeling extremely full. The chicken was served piping hot, and the thigh meat was well marinated, very tender, and layered with a well seasoned, crisp and light batter.

The curry sauce was interesting as I expected it to be Japanese curry but it seemed like a rendition of McDonald’s curry sauce (but a more pineapple-y version of it).

The additional side of potato salad though, was extremely disappointing which contributed to the reduction in stars for this review. While the serving size was also larger than what I had expected, this seemed more like an onion salad. There was a disproportionately large amount of almost-raw, crunchy onions in the salad which ruined the entire dish.

Overall some hits and misses - would rate it 3.5 stars. Worth giving them a chance if you’re in the area."
